Aircraft.damage,Make,Model,Total.Fatal.Injuries,Total.Serious.Injuries,Weather.Condition,Broad.phase.of.flight,Publication.Date,is_destroyed
Destroyed,PIPER,PA24-180,4.0,0.0,UNK,other,1996-09-19,True
Destroyed,CESSNA,172M,3.0,0.0,IMC,Cruise,2007-02-26,True
Destroyed,ROCKWELL,112,2.0,0.0,IMC,Cruise,2000-09-12,True
Destroyed,CESSNA,180,4.0,0.0,IMC,other,2001-11-06,True
Destroyed,BELLANCA,17-30A,0.0,0.0,IMC,Cruise,1983-01-02,True
Destroyed,CESSNA,R172K,1.0,0.0,IMC,Takeoff,1983-01-02,True
Destroyed,NAVION,A,1.0,0.0,IMC,Cruise,1983-01-02,True
Destroyed,BEECH,19,2.0,0.0,IMC,Cruise,1983-01-02,True
Destroyed,ENSTROM,280C,0.0,0.0,IMC,Taxi,1983-01-02,True
Destroyed,CESSNA,180,3.0,0.0,VMC,other,1983-01-02,True
Substantial,CESSNA,172,0.0,0.0,VMC,Taxi,1983-01-02,False
Substantial,CESSNA,152,0.0,0.0,VMC,Takeoff,1983-01-02,False
Substantial,CESSNA,150L,0.0,0.0,VMC,Approach,1983-01-02,False
Substantial,BELL,206L-1,0.0,0.0,VMC,Approach,1983-01-02,False
Minor,PIPER,PA-24-180,0.0,0.0,VMC,Approach,1983-01-03,False
Destroyed,GRUMMAN,AA-5B,2.0,1.0,IMC,Descent,1983-01-03,True
Destroyed,CESSNA,414A,8.0,0.0,IMC,Approach,1983-01-03,True
Substantial,MAULE,M-5-235C,0.0,0.0,VMC,Landing,1983-01-03,False
Substantial,CESSNA,210L,0.0,0.0,VMC,Descent,1983-01-03,False
Substantial,BELLANCA,7GCBC,0.0,0.0,VMC,Maneuvering,1983-01-03,False
Substantial,CESSNA,182,0.0,0.0,VMC,Approach,1983-01-03,False
Substantial,AIR TRACTOR,AT-301,0.0,0.0,VMC,Takeoff,1983-01-03,False
Destroyed,PIPER,PA-28-161,4.0,0.0,VMC,Cruise,1983-01-04,True
Destroyed,PIPER,PA-34-200T,2.0,0.0,VMC,Cruise,1983-01-04,True
Destroyed,CESSNA,T337G,2.0,2.0,IMC,Cruise,1983-01-04,True
Substantial,PIPER,PA-28R-200,0.0,0.0,VMC,Cruise,1983-01-04,False
Destroyed,CESSNA,206,1.0,0.0,VMC,Taxi,1983-01-04,True
Destroyed,NAVION,A,3.0,0.0,IMC,Cruise,1983-01-05,True
Destroyed,PIPER,PA-22,1.0,0.0,IMC,Cruise,1983-01-05,True
Destroyed,PIPER,PA-31,2.0,0.0,VMC,Approach,1983-01-05,True
Minor,ROCKWELL,114,0.0,0.0,VMC,Cruise,1983-01-05,False
Substantial,PIPER,PA-24-250,0.0,1.0,VMC,Descent,1983-01-05,False
Substantial,PIPER,PA-28R-200,0.0,0.0,VMC,Cruise,1983-01-05,False
Substantial,CESSNA,TR182,0.0,0.0,VMC,Taxi,1983-01-05,False
Substantial,CESSNA,A185F,0.0,2.0,VMC,Takeoff,1983-01-05,False
Substantial,CESSNA,340,0.0,0.0,VMC,Approach,1983-01-06,False
Substantial,AEROSPATIALE,SA-316B,0.0,0.0,VMC,Taxi,1983-01-06,False
Substantial,BEECH,35,0.0,0.0,VMC,Climb,1983-01-06,False
Substantial,CESSNA,152,0.0,0.0,VMC,Approach,1983-01-06,False
Substantial,MOONEY,M-20J,0.0,0.0,VMC,Takeoff,1983-01-06,False
Substantial,BOEING,A75,0.0,1.0,IMC,Cruise,1983-01-06,False
Destroyed,CESSNA,210,2.0,0.0,VMC,Cruise,1983-01-07,True
Substantial,BEECH,V35,0.0,0.0,VMC,Approach,1983-01-07,False
Destroyed,CESSNA,172M,1.0,0.0,IMC,Approach,1983-01-08,True
Destroyed,PIPER,PA-28-140,1.0,1.0,VMC,Approach,1983-01-08,True
Substantial,CESSNA,TU206G,0.0,0.0,VMC,Landing,1983-01-08,False
Substantial,CESSNA,152,0.0,0.0,VMC,Cruise,1983-01-08,False
Substantial,PIPER,PA-24-250,0.0,0.0,VMC,Landing,1983-01-08,False
Substantial,CESSNA,152,0.0,0.0,VMC,Takeoff,1983-01-08,False
Substantial,CESSNA,172N,0.0,0.0,VMC,Landing,1983-01-08,False
Substantial,CESSNA,152,0.0,0.0,VMC,Landing,1983-01-08,False
Substantial,SCHLEICHER,ASW 20,0.0,0.0,VMC,Landing,1983-01-09,False
Substantial,CESSNA,P210N,0.0,1.0,VMC,Landing,1983-01-09,False
Substantial,CESSNA,172,0.0,0.0,VMC,Approach,1983-01-09,False
Substantial,PIPER,PA-34,0.0,0.0,VMC,Taxi,1983-01-09,False
Substantial,CESSNA,305 (L-19),0.0,0.0,VMC,Landing,1983-01-09,False
Substantial,CESSNA,182A,0.0,0.0,VMC,Approach,1983-01-09,False
Destroyed,PIPER,PA-23-250,0.0,2.0,UNK,Approach,1983-01-10,True
Destroyed,CESSNA,172N,0.0,0.0,VMC,Landing,1983-01-10,True
Destroyed,PIPER,23-250,0.0,0.0,IMC,Takeoff,1983-01-10,True
Destroyed,MOONEY,M20G,1.0,1.0,VMC,Cruise,1983-01-10,True
Substantial,CESSNA,TU206F,0.0,0.0,VMC,Landing,1983-01-10,False
Substantial,CESSNA,U206,0.0,0.0,VMC,Cruise,1983-01-10,False
Destroyed,PIPER,PA-28-140,0.0,1.0,VMC,Cruise,1983-01-11,True
Destroyed,CESSNA,210N,4.0,1.0,IMC,Takeoff,1983-01-11,True
Substantial,CESSNA,180,0.0,0.0,VMC,Takeoff,1983-01-11,False
Substantial,CESSNA,310L,0.0,0.0,VMC,Landing,1983-01-11,False
Unknown,LOCKHEED,L-1011,0.0,0.0,UNK,Cruise,1983-01-12,False
Minor,EMBRAER,EMB-110P1,0.0,0.0,VMC,Taxi,1983-01-12,False
Destroyed,CESSNA,414,0.0,0.0,UNK,Descent,1983-01-12,True
Substantial,BEECH,P35,0.0,1.0,IMC,Descent,1983-01-12,False
Destroyed,GRUMMAN,AA5B,0.0,0.0,VMC,Descent,1983-01-13,True
Destroyed,BOEING,737-222,78.0,6.0,IMC,Takeoff,1983-01-13,True
Substantial,PIPER,PA-28R-201T,0.0,0.0,VMC,Cruise,1983-01-13,False
Substantial,BEECH,A23-24,0.0,0.0,VMC,Takeoff,1983-01-13,False
Substantial,PIPER,PA-31-350,0.0,0.0,IMC,Approach,1983-01-13,False
Destroyed,CESSNA,T210N,3.0,0.0,VMC,Climb,1983-01-15,True
Substantial,CESSNA,172,0.0,0.0,VMC,Landing,1983-01-15,False
Substantial,HUGHES,269C,0.0,0.0,VMC,Taxi,1983-01-15,False
Substantial,CESSNA,140,0.0,0.0,VMC,Takeoff,1983-01-15,False
Substantial,SWEARINGEN,SA 226-TC,0.0,1.0,VMC,Takeoff,1983-01-15,False
Substantial,BEECH,C-45H,0.0,0.0,VMC,Landing,1983-01-15,False
Substantial,DE HAVILLAND,DHC-2-MK3,0.0,0.0,VMC,Landing,1983-01-15,False
Substantial,CESSNA,150M,0.0,0.0,VMC,Go-around,1983-01-16,False
Destroyed,CESSNA,150M,1.0,0.0,IMC,Takeoff,1983-01-17,True
Destroyed,CESSNA,182P,0.0,0.0,VMC,other,1983-01-17,True
Destroyed,PIPER,PA-31,1.0,0.0,VMC,Approach,1983-01-17,True
Destroyed,PIPER,PA-31T,0.0,0.0,VMC,Maneuvering,1983-01-17,True
Destroyed,BEECH,F50,2.0,0.0,VMC,Takeoff,1983-01-17,True
Destroyed,CESSNA,150,0.0,0.0,VMC,Takeoff,1983-01-17,True
Substantial,CESSNA,180E,0.0,0.0,VMC,Maneuvering,1983-01-17,False
Substantial,CESSNA,170B,0.0,0.0,VMC,Landing,1983-01-17,False
Substantial,BELL,206B,0.0,0.0,VMC,Maneuvering,1983-01-17,False
Destroyed,BEECH,C23,0.0,2.0,VMC,Descent,1983-01-18,True
Destroyed,CESSNA,172M,1.0,0.0,IMC,Cruise,1983-01-18,True
Destroyed,PIPER,PA-28-180,3.0,0.0,IMC,Cruise,1983-01-18,True
Substantial,CESSNA,180K,0.0,0.0,VMC,Takeoff,1983-01-18,False
Substantial,CESSNA,210L,4.0,0.0,IMC,Approach,1983-01-18,False
Destroyed,MOONEY,M20F,1.0,0.0,VMC,Takeoff,1983-01-19,True
Destroyed,BEECH,G35,2.0,0.0,IMC,Maneuvering,1983-01-19,True
Destroyed,CESSNA,177B,1.0,2.0,UNK,Cruise,1983-01-19,True
Destroyed,GRUMMAN,AA5A,3.0,0.0,IMC,Approach,1983-01-19,True
Destroyed,SWEARINGEN,SA226-T(B),3.0,0.0,IMC,Approach,1983-01-19,True
Minor,DE HAVILLAND,DHC-6-300,0.0,0.0,IMC,Descent,1983-01-19,False
Substantial,PIPER,AEROSTAR 601P,0.0,0.0,VMC,Takeoff,1983-01-19,False
Substantial,CESSNA,152,0.0,0.0,VMC,Cruise,1983-01-19,False
Substantial,CESSNA,182P,0.0,0.0,VMC,Cruise,1983-01-19,False
Substantial,CESSNA,177RG,0.0,0.0,VMC,Climb,1983-01-19,False
Substantial,CESSNA,182E,0.0,0.0,VMC,Landing,1983-01-19,False
Substantial,CESSNA,150H,0.0,0.0,VMC,Approach,1983-01-19,False
Substantial,CESSNA,340A,0.0,0.0,UNK,Cruise,1983-01-19,False
Substantial,PIPER,PA-38-112,0.0,0.0,VMC,Takeoff,1983-01-19,False
Substantial,PIPER,PA-32,0.0,0.0,VMC,Takeoff,1983-01-19,False
Minor,PIPER,PA-31-350,0.0,0.0,VMC,Takeoff,1983-01-20,False
Destroyed,BEECH,58,2.0,0.0,IMC,Cruise,1983-01-20,True
Destroyed,CESSNA,182N,3.0,0.0,IMC,Descent,1983-01-20,True
Destroyed,PIPER,PA-23-250,1.0,0.0,IMC,Approach,1983-01-20,True
Substantial,CESSNA,210,1.0,0.0,VMC,Approach,1983-01-20,False
Substantial,CESSNA,152,0.0,0.0,VMC,Landing,1983-01-20,False
Substantial,HUGHES,269C,0.0,0.0,VMC,Landing,1983-01-20,False
Destroyed,CESSNA,P210N,4.0,0.0,IMC,Cruise,1983-01-21,True
Destroyed,CESSNA,402A,1.0,0.0,IMC,Approach,1983-01-21,True
Destroyed,DOUGLAS,DC-3,0.0,0.0,VMC,Takeoff,1983-01-21,True
Destroyed,PIPER,PA-23-250,0.0,1.0,IMC,Maneuvering,1983-01-21,True
Destroyed,PIPER,PA-28-235,1.0,0.0,IMC,Cruise,1983-01-21,True
Destroyed,GRUMMAN,AA-1,1.0,0.0,IMC,Takeoff,1983-01-21,True
Destroyed,PIPER,PA-32,0.0,1.0,VMC,Approach,1983-01-21,True
Destroyed,CESSNA,207,0.0,0.0,VMC,Landing,1983-01-21,True
Substantial,MOONEY,M-20,0.0,0.0,VMC,Takeoff,1983-01-21,False
Substantial,AIR TRACTOR,301,0.0,0.0,VMC,Takeoff,1983-01-21,False
Substantial,CESSNA,172M,0.0,0.0,VMC,Landing,1983-01-22,False
Substantial,SIKORSKY,S-58J,0.0,0.0,VMC,Maneuvering,1983-01-22,False
Destroyed,CESSNA,172,1.0,1.0,IMC,Approach,1983-01-23,True
Destroyed,MOONEY,M20C,2.0,0.0,VMC,other,1983-01-23,True
Destroyed,GRUMMAN,G-164A,0.0,0.0,VMC,Takeoff,1983-01-23,True
Destroyed,MCDONNELL DOUGLAS,DC-10-30,2.0,4.0,IMC,Landing,1983-01-23,True
Destroyed,BEECH,A23A,1.0,0.0,IMC,Cruise,1983-01-23,True
Substantial,PIPER,PA-32-300,0.0,0.0,VMC,Landing,1983-01-23,False
Substantial,CESSNA,150M,0.0,0.0,VMC,Cruise,1983-01-23,False
Substantial,PIPER,PA-34-200T,0.0,0.0,VMC,Approach,1983-01-23,False
Substantial,PIPER,PA-28-235,2.0,0.0,VMC,Cruise,1983-01-23,False
Substantial,CESSNA,150H,0.0,1.0,VMC,Landing,1983-01-23,False
Substantial,BELL,47G-2,0.0,0.0,VMC,Maneuvering,1983-01-23,False
Substantial,PIPER,PA-38-112,0.0,0.0,VMC,Go-around,1983-01-23,False
Substantial,CESSNA,172,0.0,0.0,UNK,Approach,1983-01-24,False
Substantial,CESSNA,172,0.0,0.0,VMC,Landing,1983-01-24,False
Substantial,CESSNA,172RG,0.0,0.0,VMC,Standing,1983-01-24,False
Substantial,CESSNA,177,0.0,0.0,VMC,Descent,1983-01-24,False
Destroyed,CESSNA,182M,2.0,0.0,UNK,Cruise,1983-01-25,True
Substantial,CESSNA,152II,0.0,0.0,VMC,Descent,1983-01-25,False
Destroyed,CESSNA,A188B,0.0,1.0,VMC,Maneuvering,1983-01-26,True
Substantial,PIPER,PA-28-140,0.0,0.0,VMC,Landing,1983-01-26,False
Substantial,CESSNA,172N,0.0,0.0,VMC,Taxi,1983-01-26,False
Substantial,CESSNA,152,0.0,0.0,VMC,Landing,1983-01-26,False
Substantial,BELLANCA,7GCBC,0.0,0.0,VMC,Takeoff,1983-01-26,False
Substantial,HUGHES,369D,0.0,0.0,VMC,Cruise,1983-01-26,False
Destroyed,BELL,UH1B,1.0,0.0,VMC,Maneuvering,1983-01-27,True
Substantial,CESSNA,152,0.0,0.0,VMC,Landing,1983-01-27,False
Substantial,CESSNA,152,0.0,0.0,VMC,Landing,1983-01-27,False
Substantial,CESSNA,172N,0.0,0.0,VMC,Taxi,1983-01-27,False
Substantial,AERONCA,7BCM,0.0,0.0,VMC,Landing,1983-01-27,False
Substantial,PIPER,PA-38-112,0.0,0.0,VMC,Approach,1983-01-27,False
Destroyed,PIPER,28-151,1.0,0.0,IMC,Cruise,1983-01-28,True
Substantial,CESSNA,340A,0.0,0.0,VMC,Takeoff,1983-01-28,False
Substantial,CESSNA,172H,0.0,0.0,VMC,Approach,1983-01-28,False
Substantial,MOONEY,M20C,0.0,0.0,VMC,Landing,1983-01-28,False
Substantial,CESSNA,A185F,0.0,0.0,VMC,Takeoff,1983-01-28,False
Substantial,PIPER,PA-32-260,0.0,0.0,VMC,Approach,1983-01-28,False
Destroyed,CESSNA,172N,1.0,0.0,IMC,Cruise,1983-01-29,True
Unknown,BEECH,B200,0.0,0.0,VMC,Cruise,1983-01-29,False
Destroyed,CESSNA,150,1.0,0.0,VMC,Maneuvering,1983-01-29,True
Substantial,CESSNA,172,0.0,0.0,VMC,Maneuvering,1983-01-29,False
Minor,PIPER,PA-28R-201T,0.0,0.0,VMC,Landing,1983-01-30,False
Destroyed,MOONEY,M20J,0.0,0.0,VMC,Climb,1983-01-30,True
Substantial,CESSNA,TR182,1.0,0.0,VMC,Takeoff,1983-01-30,False
Substantial,AERONCA,7AC,0.0,0.0,VMC,Taxi,1983-01-30,False
Substantial,CESSNA,177B,0.0,0.0,VMC,Cruise,1983-01-30,False
Substantial,CESSNA,172,0.0,0.0,VMC,Landing,1983-01-30,False
Substantial,CESSNA,140,0.0,0.0,VMC,Takeoff,1983-01-30,False
Substantial,CESSNA,172,0.0,0.0,VMC,Landing,1983-01-30,False
Substantial,CESSNA,182L,0.0,0.0,VMC,Landing,1983-01-30,False
Substantial,CESSNA,172N,0.0,0.0,VMC,Landing,1983-01-30,False
Substantial,CESSNA,172P,0.0,0.0,IMC,Landing,1983-01-30,False
Substantial,PIPER,PA-22,0.0,0.0,VMC,Takeoff,1983-01-31,False
Substantial,CESSNA,150L,0.0,0.0,VMC,Approach,1983-01-31,False
Substantial,BEECH,36,0.0,1.0,IMC,Cruise,1983-01-31,False
Substantial,CESSNA,152,0.0,0.0,VMC,Landing,1983-01-31,False
Substantial,PIPER,PA-28-161,0.0,0.0,VMC,Approach,1983-01-31,False
Substantial,CESSNA,180K,0.0,0.0,VMC,Landing,1983-01-31,False
Substantial,CESSNA,152,0.0,0.0,VMC,Takeoff,1983-01-31,False
Substantial,CESSNA,152,0.0,0.0,VMC,Landing,1983-01-31,False
Substantial,PIPER,PA-22,0.0,0.0,VMC,Takeoff,1983-01-31,False
Destroyed,BEECH,99,0.0,5.0,IMC,Approach,1983-02-01,True
Destroyed,CESSNA,172,0.0,1.0,VMC,Takeoff,1983-02-01,True
Destroyed,AEROSPATIALE,SA-360C,0.0,1.0,VMC,Cruise,1983-02-01,True
Destroyed,CESSNA,182,2.0,0.0,IMC,Maneuvering,1983-02-01,True
Substantial,BELLANCA,7ECA,0.0,0.0,VMC,Takeoff,1983-02-01,False
Substantial,CESSNA,TR182,0.0,0.0,VMC,Landing,1983-02-01,False
Substantial,CESSNA,P206,0.0,0.0,VMC,Landing,1983-02-01,False
Substantial,GRUMMAN,1159,0.0,0.0,VMC,Landing,1983-02-01,False
Substantial,PIPER,PA-32,0.0,1.0,IMC,Cruise,1983-02-01,False
Destroyed,PIPER,PA-23-250,1.0,0.0,IMC,Approach,1983-02-02,True
Destroyed,CESSNA,150G,2.0,0.0,VMC,other,1983-02-02,True
Substantial,CESSNA,U206G,0.0,0.0,VMC,Landing,1983-02-02,False
Substantial,CESSNA,T210N,0.0,0.0,VMC,Landing,1983-02-02,False
Destroyed,MOONEY,M20J,1.0,0.0,VMC,Climb,1983-02-03,True
Destroyed,MITSUBISHI,MU2B-40,0.0,0.0,IMC,Landing,1983-02-03,True
Substantial,CESSNA,150J,0.0,0.0,VMC,Maneuvering,1983-02-03,False
Substantial,TAYLORCRAFT,F19,0.0,0.0,VMC,Landing,1983-02-03,False
Substantial,BELL,206L-1,0.0,0.0,VMC,Cruise,1983-02-03,False
Destroyed,ROBINSON,R-22,2.0,0.0,IMC,Cruise,1983-02-04,True
Substantial,BELLANCA,7KCAB,0.0,0.0,VMC,Landing,1983-02-04,False
Substantial,BELL,206L-1,0.0,0.0,VMC,Takeoff,1983-02-04,False
Destroyed,PIPER,PA-28,2.0,0.0,VMC,Cruise,1983-02-05,True
Destroyed,PIPER,PA-32R-300,4.0,0.0,IMC,Cruise,1983-02-05,True
Substantial,PIPER,PA-28-140,0.0,1.0,VMC,Takeoff,1983-02-05,False
Substantial,CESSNA,T210L,0.0,1.0,VMC,Climb,1983-02-05,False
Minor,BOEING,A75N1,0.0,0.0,VMC,Taxi,1983-02-06,False
Destroyed,PIPER,PA-31,0.0,2.0,IMC,other,1983-02-06,True
Minor,BELLANCA,7KCAB,0.0,0.0,VMC,Standing,1983-02-06,False
Substantial,TAYLORCRAFT,BC12-D,0.0,0.0,VMC,Taxi,1983-02-06,False
Substantial,PIPER,PA-28-140,0.0,0.0,VMC,Landing,1983-02-06,False
Substantial,RAVEN,S-55A,0.0,0.0,VMC,Landing,1983-02-06,False
Substantial,CESSNA,180,0.0,0.0,VMC,Taxi,1983-02-06,False
Substantial,CESSNA,152,0.0,0.0,VMC,Takeoff,1983-02-06,False
Substantial,PIPER,PA-28-181,0.0,0.0,VMC,Takeoff,1983-02-06,False
Substantial,ERCOUPE,415-C,0.0,0.0,VMC,Approach,1983-02-06,False
Substantial,CESSNA,182H,0.0,0.0,VMC,Landing,1983-02-06,False
Substantial,CESSNA,150,0.0,0.0,VMC,Landing,1983-02-06,False
Destroyed,PIPER,PA-24-180,8.0,0.0,VMC,Cruise,1983-02-07,True
Destroyed,CESSNA,182B,8.0,0.0,VMC,Cruise,1983-02-07,True
Destroyed,PIPER,PA-28-140,0.0,4.0,VMC,Landing,1983-02-07,True
Destroyed,CESSNA,P210N,4.0,0.0,IMC,Cruise,1983-02-07,True
Substantial,PIPER,PA-28-180,0.0,0.0,VMC,Landing,1983-02-07,False
Substantial,CESSNA,172N,0.0,0.0,VMC,Landing,1983-02-07,False
Substantial,CESSNA,152,0.0,0.0,VMC,Landing,1983-02-07,False
Substantial,PIPER,PA-38,0.0,0.0,VMC,Takeoff,1983-02-07,False
Substantial,CESSNA,177RG,0.0,0.0,VMC,Taxi,1983-02-07,False
Substantial,CESSNA,172,0.0,0.0,VMC,Landing,1983-02-07,False
Substantial,CESSNA,152,0.0,0.0,VMC,Cruise,1983-02-07,False
Substantial,CESSNA,172,0.0,0.0,VMC,Landing,1983-02-07,False
Destroyed,CESSNA,172N,1.0,0.0,IMC,Cruise,1983-02-08,True
Destroyed,CESSNA,C-172,0.0,0.0,VMC,Climb,1983-02-08,True
Substantial,PIPER,PA-18A-150,1.0,0.0,VMC,Takeoff,1983-02-08,False
Substantial,CESSNA,152,0.0,0.0,VMC,Landing,1983-02-08,False
Substantial,PIPER,PA-28R-201,0.0,0.0,IMC,Landing,1983-02-08,False
Substantial,PIPER,PA-28-161,0.0,0.0,VMC,Landing,1983-02-08,False
Substantial,CESSNA,182P,0.0,0.0,VMC,Approach,1983-02-08,False
Substantial,CESSNA,140,0.0,0.0,VMC,Landing,1983-02-08,False
Substantial,BEECH,C-23,0.0,0.0,VMC,Takeoff,1983-02-08,False
Destroyed,PIPER,PA-38-112,0.0,0.0,VMC,Landing,1983-02-09,True
Destroyed,BEECH,V35A,1.0,0.0,VMC,Maneuvering,1983-02-09,True
Unknown,BEECH,200,0.0,0.0,IMC,Takeoff,1983-02-09,False
Substantial,CESSNA,310R,0.0,0.0,VMC,Takeoff,1983-02-09,False
Substantial,CESSNA,172,0.0,0.0,VMC,Landing,1983-02-09,False
Substantial,CESSNA,402B,0.0,0.0,IMC,Go-around,1983-02-09,False
Substantial,CESSNA,185,0.0,0.0,VMC,Taxi,1983-02-09,False
Destroyed,CESSNA,310,0.0,2.0,VMC,Approach,1983-02-10,True
Destroyed,BEECH,95-C55,2.0,0.0,IMC,Cruise,1983-02-10,True
Substantial,CESSNA,172K,0.0,0.0,VMC,Approach,1983-02-10,False
Substantial,CESSNA,421B,0.0,0.0,VMC,Landing,1983-02-10,False
Substantial,CESSNA,401,0.0,0.0,VMC,Cruise,1983-02-10,False
Substantial,SIKORSKY,UH-19B,0.0,0.0,VMC,Landing,1983-02-10,False
Destroyed,CESSNA,421,2.0,0.0,IMC,Cruise,1983-02-11,True
Destroyed,GRUMMAN,G-164B,0.0,0.0,VMC,Takeoff,1983-02-11,True
Substantial,CESSNA,152,0.0,0.0,VMC,Takeoff,1983-02-11,False
Substantial,PIPER,PA-60-602P,1.0,0.0,VMC,Takeoff,2017-10-30,False
Unknown,DE HAVILLAND,DHC-6-100,0.0,0.0,VMC,Cruise,1983-02-12,False
Destroyed,PIPER,PA-24-250,0.0,4.0,VMC,Cruise,1983-02-12,True
Substantial,CESSNA,152,0.0,0.0,VMC,Landing,1983-02-12,False
Destroyed,CESSNA,172K,4.0,0.0,IMC,Cruise,1983-02-13,True
Destroyed,PIPER,PA-34,1.0,0.0,IMC,Cruise,1983-02-13,True
Destroyed,ROCKWELL,112A,2.0,0.0,IMC,Cruise,1983-02-13,True
Destroyed,BEECH,J35,4.0,0.0,VMC,Cruise,1983-02-13,True
Substantial,CESSNA,150,0.0,0.0,VMC,Taxi,1983-02-13,False
Substantial,CESSNA,152,0.0,0.0,VMC,Landing,1983-02-13,False
Substantial,AERONCA,7AC,0.0,0.0,VMC,Landing,1983-02-13,False
Substantial,CESSNA,172,0.0,0.0,VMC,Landing,1983-02-13,False
Substantial,PIPER,PA-18,0.0,0.0,UNK,other,1983-02-13,False
Substantial,CESSNA,150,0.0,0.0,VMC,Cruise,1983-02-13,False
Destroyed,AERONCA,7EC,1.0,0.0,VMC,Maneuvering,1983-02-14,True
Destroyed,BELL,214B-1,1.0,1.0,VMC,other,1983-02-14,True
Destroyed,CESSNA,150,0.0,2.0,VMC,Descent,1983-02-14,True
Destroyed,CESSNA,152,0.0,0.0,VMC,Landing,1983-02-14,True
Substantial,BELLANCA,17-30A,0.0,0.0,VMC,Approach,1983-02-14,False
Substantial,CESSNA,150,0.0,0.0,VMC,Landing,1983-02-14,False
Substantial,PIPER,PA-28-140,0.0,0.0,VMC,Takeoff,1983-02-14,False
Substantial,PIPER,PA-38-112,0.0,0.0,VMC,Approach,1983-02-14,False
Substantial,PIPER,PA-28-161,0.0,0.0,VMC,Landing,1983-02-14,False
Substantial,CESSNA,172N,0.0,0.0,VMC,Landing,1983-02-14,False
Substantial,PIPER,PA-28-161,0.0,0.0,VMC,Landing,1983-02-14,False
Minor,BOEING,B737-2H4,0.0,0.0,IMC,Approach,1983-02-15,False
Destroyed,CESSNA,310D,0.0,0.0,VMC,Takeoff,1983-02-15,True
Destroyed,PIPER,PA-23,1.0,0.0,VMC,Cruise,1983-02-15,True
Substantial,MOONEY,M20J,0.0,0.0,VMC,Landing,1983-02-15,False
Substantial,PIPER,PA-28-151,0.0,0.0,IMC,Descent,1983-02-15,False
Substantial,CESSNA,152,0.0,0.0,VMC,Takeoff,1983-02-15,False
Substantial,PIPER,PA-28-151,0.0,0.0,VMC,Takeoff,1983-02-15,False
Substantial,CESSNA,152(II),0.0,0.0,VMC,Landing,1983-02-15,False
Substantial,BEECH,35,0.0,0.0,VMC,Approach,1983-02-15,False
Substantial,PIPER,PA-28R-180,0.0,1.0,IMC,Landing,1983-02-15,False
Substantial,CESSNA,150M,0.0,0.0,VMC,Approach,1983-02-15,False
Substantial,BELLANCA,8GCBC,0.0,0.0,VMC,Landing,1983-02-15,False
Substantial,PIPER,PA-31-310,0.0,0.0,VMC,Landing,1983-02-15,False
Substantial,CESSNA,172,0.0,0.0,VMC,Approach,1983-02-15,False
Destroyed,PIPER,PA-31T2,8.0,0.0,IMC,Approach,1983-02-16,True
Substantial,BEECH,90,0.0,0.0,IMC,Cruise,1983-02-16,False
Destroyed,CESSNA,152,0.0,0.0,VMC,Taxi,1983-02-17,True
Substantial,CESSNA,172M,0.0,0.0,VMC,Landing,1983-02-17,False
Substantial,PIPER,PA-28RT-201T,0.0,1.0,IMC,Descent,1983-02-17,False
Substantial,BELLANCA,7ECA,0.0,0.0,VMC,Approach,1983-02-17,False
Substantial,CESSNA,177RG,0.0,0.0,VMC,Landing,1983-02-17,False
Substantial,CESSNA,210,0.0,0.0,VMC,Landing,1983-02-17,False
Substantial,CESSNA,210,0.0,0.0,IMC,Approach,1983-02-17,False
Substantial,BOEING,727-235,0.0,1.0,VMC,Takeoff,1983-02-17,False
Substantial,PIPER,PA-23,0.0,0.0,IMC,Approach,1983-02-17,False
Minor,EMBRAER,EMB-11OP1,0.0,0.0,VMC,Takeoff,1983-02-18,False
Destroyed,BEECH,A36,1.0,0.0,VMC,Cruise,1983-02-18,True
Destroyed,PIPER,PA-28-140,1.0,0.0,IMC,Cruise,1983-02-18,True
Substantial,CESSNA,T210N,0.0,0.0,VMC,Approach,1983-02-18,False
Substantial,PIPER,PA-44-180T,0.0,0.0,IMC,Descent,1983-02-19,False
Substantial,BALLOON WORKS,FIREFLY,0.0,0.0,VMC,Landing,1983-02-19,False
Substantial,CESSNA,172H,0.0,0.0,VMC,Landing,1983-02-19,False
Substantial,CESSNA,180,0.0,0.0,VMC,Landing,1983-02-19,False
Substantial,CESSNA,172A,0.0,0.0,UNK,Takeoff,1983-02-19,False
Substantial,BEECH,58,0.0,0.0,IMC,Approach,1983-02-19,False
Substantial,CESSNA,P206B,0.0,0.0,UNK,Landing,1983-02-19,False
Substantial,BELL,47G2,0.0,0.0,VMC,Cruise,1983-02-19,False
Substantial,CESSNA,404,0.0,0.0,IMC,Landing,1983-02-19,False
Destroyed,PITTS,51,0.0,0.0,VMC,Maneuvering,1983-02-20,True
Destroyed,CESSNA,172L,1.0,1.0,VMC,Approach,1983-02-20,True
Destroyed,CESSNA,182Q,2.0,0.0,VMC,Maneuvering,1983-02-20,True
Destroyed,PIPER,PA-36-375,1.0,0.0,VMC,Maneuvering,1983-02-20,True
Substantial,PIPER,PA-28-161,0.0,0.0,VMC,Landing,1983-02-20,False
Substantial,CESSNA,152,0.0,0.0,VMC,Landing,1983-02-20,False
Substantial,CESSNA,172N,0.0,0.0,VMC,Takeoff,1983-02-20,False
Substantial,CESSNA,150M,0.0,0.0,VMC,Takeoff,1983-02-20,False
Substantial,CESSNA,140,0.0,0.0,VMC,Maneuvering,1983-02-20,False
